name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Los Cursos,1028,7A,5.1682,0.2459,-2.9036,0.0810,16.564,16.294,16.834,6C+,+1.436
Grande Byron,72,6B+,0.7816,0.3148,-3.2435,0.3447,15.986,14.838,17.134,6C,-0.986
Outside the box,51,7A+,1.8300,0.4336,0.1762,0.3604,21.800,20.599,23.001,7C,-2.800
Sancho Panza,30,6C,0.7703,0.4863,-0.9835,0.4367,19.828,18.373,21.283,7B,-3.828
17A,2,6A,0.8140,1.8326,0.5466,1.0140,22.429,19.051,25.808,7C,-10.429
gay parade,111,6B,1.2369,0.2807,-3.9701,0.2432,14.751,13.940,15.561,6B+,-0.751
Hudu,24,7A,1.0288,0.6407,0.0007,0.5242,21.501,19.755,23.248,7C,-3.501
Nez Rouge,29,7B,2.1797,0.5161,0.5300,0.4050,22.401,21.052,23.750,7C,-2.401
Black Mirror,97,6B+,3.4183,0.4017,-1.7196,0.2783,18.577,17.650,19.504,7A+,-3.577
Made in Norway,495,7B,5.8027,0.4294,-1.1215,0.1299,19.593,19.161,20.026,7B,+0.407
L'eliminante,38,7A+,1.1115,0.3908,-1.3329,0.3959,19.234,17.915,20.553,7A+,-0.234
Ping Pong Boulder,75,7C,2.7149,0.3541,0.5533,0.3061,22.441,21.421,23.461,7C,-0.441
Doctor Crimp,307,7C,6.2240,0.6789,-0.2647,0.1404,21.050,20.582,21.518,7B+,+0.950
Komilator,578,7C,7.9481,0.6184,-0.2848,0.0915,21.016,20.711,21.321,7B+,+0.984
La pelle direct,42,8A+,7.7429,1.1816,3.1995,0.2973,26.939,25.949,27.930,8B+,-1.939
Tomahawk,405,7B,5.7825,0.5663,-0.4286,0.1348,20.771,20.322,21.220,7B+,-0.771
Voci dalla cantina,326,7B+,5.0858,0.5174,-1.2075,0.1298,19.447,19.015,19.880,7A+,+1.553
Salsa dura,232,7A,3.5821,0.2853,-1.5017,0.1706,18.947,18.379,19.515,7A+,-0.947
Orgoglione seduto,47,7B,2.0198,0.4148,0.6380,0.3569,22.585,21.396,23.774,7C+,-2.585
Aktifit,203,7A,2.6578,0.2442,-2.3075,0.1713,17.577,17.006,18.148,7A,+0.423
Slab Warmup,1,6A+,0.2412,2.0635,5.9534,1.1160,31.621,27.902,35.339,31.620857492583355,-18.621
Slabby Highstep,2,6B,1.0504,1.8279,5.5667,1.1217,30.963,27.226,34.701,30.96339107599305,-16.963
Low Arete,2,6B,0.5782,1.3151,5.5556,1.1815,30.945,27.008,34.881,30.94457976447551,-16.945
Warmup Easy,1,6A+,0.5302,1.8717,5.5633,1.3849,30.958,26.343,35.572,30.957604718718276,-17.958
Smemory,388,7A,3.5926,0.2290,-2.0631,0.1294,17.993,17.562,18.424,7A,+0.007
Crapon da rabadan,76,7A,1.5510,0.3582,-1.2085,0.2926,19.446,18.471,20.420,7A+,-1.446
Vaffa un mental,29,7A+,2.9191,0.8483,-1.6797,0.4792,18.645,17.048,20.241,7A+,+0.355
Pause Cafe,2,7C,0.3999,1.2435,3.8963,0.9310,28.124,25.022,31.226,8C,-6.124
Backgammon,98,7C,5.4035,0.6565,1.1540,0.2052,23.462,22.778,24.146,7C+,-1.462
Hillary step,28,7B+,2.3704,0.6562,0.9005,0.4956,23.031,21.379,24.682,7C+,-2.031
Che schifo,114,7A,2.0041,0.2828,-2.7296,0.2105,16.860,16.158,17.561,6C+,+1.140
Chads Bulge,232,7A,3.0166,0.2522,-1.8957,0.1761,18.277,17.691,18.864,7A,-0.277
Ronnie Netscape,19,7A+,0.2510,0.5180,-0.8233,0.5801,20.100,18.168,22.033,7B,-1.100
Happy new year,23,7B,0.9445,0.5161,0.6818,0.4510,22.659,21.156,24.162,7C+,-2.659
Bossa Nova,72,7A,1.2684,0.2970,-2.4718,0.2989,17.298,16.302,18.294,6C+,+0.702
tetto baz,62,7A+,1.7026,0.3365,-0.3761,0.3373,20.861,19.737,21.985,7B+,-1.861
Nachtschwärmer,47,7A,5.2294,1.3816,-1.2724,0.3878,19.337,18.045,20.629,7A+,-1.337
Vostok,96,6C,0.7328,0.3136,-2.2833,0.2647,17.618,16.737,18.500,7A,-1.618
Expolama,109,6B+,0.7443,0.2449,-4.5124,0.2409,13.829,13.026,14.632,6B,+1.171
Rainbirds,17,7C,3.2317,0.8224,2.6166,0.3838,25.948,24.669,27.227,8B,-3.948
Vasco de Gama,293,7A,3.0132,0.2115,-2.8436,0.1439,16.666,16.187,17.145,6C+,+1.334
Matusalem,560,6C+,4.1316,0.2906,-3.2725,0.1015,15.937,15.599,16.275,6C,+1.063
Frogger,348,8A,8.8867,0.8030,0.6961,0.1198,22.683,22.284,23.083,7C+,+1.317
Seppi's Boulder,323,7A,3.1177,0.2042,-1.8559,0.1256,18.345,17.926,18.763,7A,-0.345
Gemini,1,8B+,1.5786,2.2563,5.1270,1.2916,30.216,25.912,34.519,30.21588435503116,-3.216
Disco sucks fucks everything,4,8A,3.4031,1.6396,4.5580,0.6813,29.249,26.979,31.519,8C+,-5.249
Malonk,2,7C,1.3350,1.3529,4.6632,0.8223,29.427,26.688,32.167,8C+,-7.427
Tzunami,77,7A,2.1113,0.3361,-1.3674,0.2659,19.175,18.289,20.061,7A+,-1.175
The cave of the wolf,68,7B+,2.8444,0.5018,0.1456,0.3014,21.747,20.743,22.752,7C,-0.747
Die Roboter,161,6A,1.2373,0.2492,-7.7189,0.2745,8.378,7.463,9.292,4C,+3.622
Karma Police,147,7A+,2.3244,0.2855,-0.9882,0.2416,19.820,19.015,20.625,7B,-0.820
Molonk bloc,29,6B+,0.0151,0.3227,-4.3206,0.6550,14.155,11.973,16.337,6B,+0.845
Easy going,67,7B,1.9060,0.3064,-0.6971,0.2571,20.315,19.458,21.172,7B,-0.315
saludos amigos,101,7B+,2.7244,0.3224,-0.5297,0.2593,20.600,19.736,21.464,7B+,+0.400
Negrita,70,6C,0.5650,0.3058,-1.6571,0.2613,18.683,17.812,19.554,7A+,-2.683
Dove osano i Cachi,52,6B+,0.3301,0.3012,-2.7431,0.3324,16.837,15.729,17.944,6C+,-1.837
Apogeo,4,7C,0.5032,1.8388,5.3730,1.2886,30.634,26.341,34.928,30.634163293366655,-8.634
Prost,24,7C,1.2543,0.6902,1.2617,0.4745,23.645,22.064,25.226,8A,-1.645
xp,212,7C,7.4728,0.9539,0.1814,0.1776,21.808,21.217,22.400,7C,+0.192
Ganymede Takeover,72,8A+,8.2347,1.2568,1.8202,0.3000,24.594,23.595,25.594,8A+,+0.406
Moby Dick,50,6C+,0.9328,0.3445,-2.7355,0.3547,16.850,15.668,18.032,6C+,+0.150
La Boule,109,8A,8.5392,1.2139,2.1863,0.2045,25.217,24.535,25.898,8A+,-1.217
Make mistake,70,6A,0.4357,0.3310,-3.0080,0.3278,16.386,15.294,17.479,6C,-4.386
Naamloos,2,7A,0.3923,1.2255,3.8817,0.7246,28.099,25.685,30.513,8C,-10.099
Party boosten,23,7B+,1.6485,0.4810,1.3538,0.4362,23.801,22.348,25.255,8A,-2.801
Lemon Tree,200,6C+,3.0993,0.2871,-1.5147,0.1837,18.925,18.313,19.537,7A+,-1.925
Kid dynamite,2,8A,3.5996,1.5683,5.8969,0.7869,31.525,28.903,34.147,31.524780119664012,-7.525
Rah Plats Plats,93,8A,6.6580,0.7613,1.7714,0.2291,24.511,23.748,25.275,8A+,-0.511
Gorilla direct,8,7B,0.6196,0.5951,2.2676,0.5240,25.355,23.609,27.101,8A+,-5.355
Mortacci tua,67,7A,2.1111,0.3471,-1.4085,0.3293,19.106,18.008,20.203,7A+,-1.106
Zombie,67,7B+,0.9707,0.2957,-0.6369,0.3157,20.417,19.365,21.469,7B,+0.583
"21d,Quergang mit Tricky-Hooks",1,7B+,0.3491,2.1629,3.1504,1.4626,26.856,21.982,31.729,8B+,-5.856
Hannibal lector,2,7C,1.5449,1.3242,4.5477,0.8811,29.231,26.295,32.167,8C+,-7.231
That goes left,114,7C,5.2966,0.5793,1.4825,0.2394,24.020,23.223,24.818,8A,-2.020
opus day,62,6C+,1.4818,0.3179,-1.1647,0.3217,19.520,18.448,20.592,7B,-2.520
Rutti e scorregge,38,7A,0.6543,0.3463,-0.9798,0.4471,19.834,18.345,21.324,7B,-1.834
Zatopek,15,7B+,0.5776,0.6042,1.8926,0.4919,24.717,23.078,26.357,8A+,-3.717
The porkery,19,7A,0.2720,0.5104,-0.3145,0.5483,20.965,19.138,22.792,7B+,-2.965
Arete,1,7C+,1.5356,2.1663,5.3877,0.8812,30.659,27.723,33.595,30.659061179215712,-7.659
Ekstasy,2,7A,0.8725,1.2318,1.6175,1.5005,24.250,19.250,29.249,8A,-6.250
Rummikub,108,6B+,0.6539,0.2689,-4.0491,0.2539,14.616,13.770,15.463,6B+,+0.384
shark zone,24,6C+,2.5910,0.8755,-1.2817,0.5712,19.321,17.418,21.224,7A+,-2.321
Microcosmos,152,7A+,2.8737,0.3055,-1.2558,0.2461,19.365,18.545,20.185,7A+,-0.365
H6,7,7C,2.4139,1.0041,3.6223,0.4673,27.658,26.101,29.215,8C,-5.658
Swinger Club,206,7A+,3.6446,0.3609,-0.9148,0.1651,19.945,19.395,20.495,7B,-0.945
Paradise for mice,7,7C,0.1981,0.6830,2.6443,0.4949,25.995,24.346,27.644,8B,-3.995
Arcadia,85,7C,4.8820,0.5434,1.6691,0.2730,24.337,23.428,25.247,8A,-2.337
Areta with the poket,2,8A,2.9478,1.7351,5.9315,0.7497,31.584,29.086,34.081,31.583503738553393,-7.584
Le saut du gros Nico,32,7B,1.7897,0.4189,1.4909,0.3967,24.035,22.713,25.356,8A,-4.035
The Never Ending Story,88,8B+,8.6380,1.1241,2.7961,0.2167,26.253,25.531,26.975,8B,+0.747
Cubico Kante,1,3A,0.2967,1.8925,6.0390,1.3559,31.766,27.248,36.284,31.76624105046477,-28.766
Heron,47,7C+,3.2877,0.4293,1.1720,0.2632,23.492,22.616,24.369,7C+,-0.492
Fandango,100,7A,2.0731,0.2901,-1.4893,0.2856,18.968,18.017,19.920,7A+,-0.968
U-turn,205,7B,5.2556,0.6081,0.1893,0.1926,21.822,21.180,22.464,7C,-1.822
Put my life,27,7A,0.0768,0.3585,-2.2045,0.4747,17.752,16.171,19.334,7A,+0.248
Marilyn Monroe,255,8A,8.4235,0.7334,1.3839,0.1440,23.853,23.373,24.332,8A,+0.147
Selection Door,529,7A,3.9986,0.2548,-2.7999,0.1048,16.740,16.391,17.089,6C+,+1.260
Giulian,80,6C,1.0147,0.2749,-2.4285,0.2676,17.371,16.480,18.263,6C+,-1.371
Prow,4,7A,1.0269,1.2537,3.6138,0.6652,27.643,25.427,29.860,8C,-9.643
Electric Ant,9,8B,5.8950,1.6638,4.8077,0.5834,29.673,27.729,31.617,29.67305986033121,-3.673
Deliverance,9,8A+,3.4330,1.3836,4.4624,0.4501,29.086,27.586,30.586,8C+,-4.086
Endoxa,2,7C+,0.1501,1.8751,4.5722,1.1658,29.273,25.388,33.157,8C+,-6.273
Les Cliques à Claques,162,7C,5.7325,0.6538,0.9353,0.1783,23.090,22.496,23.684,7C+,-1.090
Bergsteigerkante,78,7A+,4.7473,0.8064,0.4510,0.2317,22.267,21.495,23.039,7C,-3.267
La Soucoupe,42,8B,8.3682,1.1805,2.7342,0.2457,26.148,25.329,26.967,8B,-0.148
Pesanti ma contenti,39,7B,2.0616,0.5060,0.0705,0.4274,21.620,20.196,23.044,7C,-1.620
Fucking Move,33,7C,1.8245,0.4466,0.8893,0.3418,23.012,21.873,24.151,7C+,-1.012
Clin d'oeil,135,7A,1.9159,0.3353,-2.1246,0.2598,17.888,17.023,18.754,7A,+0.112
bir bon,50,6C+,0.0496,0.3437,-3.6395,0.3875,15.313,14.022,16.604,6B+,+1.687
Mediomen,44,7A+,2.1510,0.5061,-0.2160,0.3335,21.133,20.022,22.244,7B+,-2.133
Suworow,165,7B+,7.4348,1.2174,-0.9050,0.1963,19.962,19.307,20.616,7B,+1.038
Vol au vent,1,7A,0.6895,2.1375,4.4210,0.9482,29.016,25.856,32.175,8C+,-11.016
Tra 9 minuti,18,7C,0.9640,0.5171,1.7519,0.4443,24.478,22.998,25.959,8A,-2.478
Dark Side of the Moon,68,7C+,8.1298,1.2838,0.3073,0.3130,22.022,20.979,23.065,7C,+0.978
La baronessa,92,6A,0.1589,0.2084,-5.2508,0.2552,12.574,11.723,13.424,6A+,-0.574
Voci dalla cantina left,1,7B,0.0921,1.7192,4.1149,1.1664,28.495,24.609,32.382,8C,-8.495
les cliques a claques,25,7C,1.9389,0.6159,1.8284,0.4057,24.608,23.256,25.960,8A+,-2.608
La Pinochette,1,7C,0.1444,1.8259,4.3690,0.9717,28.927,25.690,32.165,8C+,-6.927
Dessert,54,6B+,0.4063,0.2904,-2.2306,0.3615,17.708,16.503,18.912,7A,-2.708
Birds,120,7C,5.5151,0.6407,0.9245,0.2733,23.072,22.161,23.982,7C+,-1.072
Saludos amigos,72,7B,1.7921,0.3279,-0.3366,0.3039,20.928,19.915,21.940,7B+,-0.928
Jungle,2,7C+,1.6938,1.6250,4.6215,0.7031,29.357,27.014,31.699,8C+,-6.357
Caffé de la Gare,69,6B+,0.2849,0.2762,-3.7006,0.3147,15.209,14.160,16.257,6B+,-0.209
Le Flipper,99,7B,2.5805,0.3346,-0.0694,0.2548,21.382,20.533,22.231,7B+,-1.382
Bosna Royal - left variant,2,7A+,1.7861,1.9817,4.7311,0.7415,29.543,27.072,32.014,29.54283253184166,-10.543
La Boule(stand),1,7C,1.9436,1.6075,5.1259,1.2058,30.214,26.196,34.232,30.214038499058095,-8.214
Bachblock,1,7C,0.5206,2.0584,4.9076,1.1903,29.843,25.877,33.809,29.842965166647144,-7.843
Höhenrausch (left),3,7C,2.6423,1.4279,4.6361,0.5862,29.381,27.428,31.334,8C+,-7.381
Molunk,4,7C,6.0693,1.7585,4.4789,0.6652,29.114,26.898,31.331,8C+,-7.114
Doctor Med Dent,939,7B,7.1274,0.4787,-1.5441,0.0916,18.875,18.570,19.180,7A+,+1.125
Salut à toit,59,7C+,4.7951,0.8744,1.8243,0.2728,24.601,23.692,25.510,8A+,-1.601
Kanizsa,116,6C,1.2062,0.2414,-2.5569,0.2306,17.153,16.385,17.922,6C+,-1.153
schock wave,6,6B,1.1491,1.1053,3.4416,0.6265,27.351,25.263,29.438,8B+,-13.351
The Shield,67,7B+,2.8443,0.3781,-0.0816,0.2850,21.361,20.412,22.311,7B+,-0.361
Richiamino settimanale,27,7A+,1.0570,0.4335,0.9344,0.4515,23.088,21.584,24.593,7C+,-4.088
New age,102,7B,2.8414,0.4173,0.6046,0.2751,22.528,21.611,23.444,7C+,-2.528
Walking in the desert,51,7B,2.5390,0.4560,0.7650,0.3190,22.800,21.738,23.863,7C+,-2.800
Deo gratias,8,7A,0.1467,0.5714,1.1428,0.6202,23.443,21.376,25.509,7C+,-5.443
Carepe,81,6C,0.6449,0.2961,-2.3979,0.2889,17.424,16.461,18.386,6C+,-1.424
No Mystery,64,8A,8.1269,1.1639,2.6976,0.2461,26.086,25.266,26.906,8B,-2.086
L'Idoletto,85,7A,0.7524,0.2586,-2.5237,0.3286,17.210,16.115,18.305,6C+,+0.790
Bridge Over Troubled Waters,135,7C+,5.8360,0.6414,1.2918,0.2226,23.696,22.954,24.438,8A,-0.696
4 Sassi Per...,136,6A+,1.0367,0.2410,-6.3148,0.2631,10.765,9.888,11.642,5C,+2.235
serre moi fort,2,7B+,0.5767,1.1907,3.4042,0.8176,27.287,24.563,30.011,8B+,-6.287
Dogs and Birds,1,8A+,1.9162,2.6767,5.4726,1.1735,30.803,26.893,34.713,30.803449645629914,-5.803
The Aviator,427,6C+,3.4335,0.2414,-2.6451,0.1098,17.003,16.637,17.369,6C+,-0.003
Eyorjoi,117,6B,0.7140,0.2723,-4.3680,0.2155,14.074,13.356,14.793,6B,-0.074
Papa Razzi,195,7A,3.3844,0.3082,-0.7109,0.2070,20.291,19.602,20.981,7B,-2.291
Dig your own hole,21,7C,3.5010,0.7877,2.1450,0.3804,25.147,23.879,26.414,8A+,-3.147
Triade,322,7A,2.7881,0.2268,-3.4218,0.1336,15.683,15.238,16.128,6C,+2.317
Madreperla,62,6C+,0.9726,0.3953,-1.8528,0.2777,18.350,17.425,19.276,7A,-1.350
Hebelgesetz,266,7A,3.1614,0.2062,-2.6409,0.1261,17.010,16.590,17.430,6C+,+0.990
Dr.Crimp,1,7C,0.3233,1.7190,4.3985,1.0700,28.978,25.412,32.543,8C+,-6.978
The scent of shit,16,7C,2.2266,0.8958,2.8200,0.5066,26.294,24.606,27.982,8B,-4.294
Revolution,49,7B+,1.7935,0.3169,-0.4684,0.3491,20.704,19.541,21.867,7B+,+0.296
The Snatch,2,7C,3.4283,1.7553,4.7168,0.9379,29.519,26.394,32.644,29.518632237139435,-7.519
Raindog,1,8A,2.0131,2.6230,6.0000,1.2708,31.700,27.466,35.934,31.70001017189307,-7.700
Power Ranger,221,7B+,3.6803,0.3354,-0.8892,0.1620,19.988,19.448,20.528,7B,+1.012
Scia Sota,25,6C+,0.2170,0.4615,-0.2193,0.4884,21.127,19.500,22.754,7B+,-4.127
Frank's wild years,195,8A+,9.6958,1.0423,1.4378,0.1634,23.944,23.400,24.488,8A,+1.056
Nanosecondo,49,7A+,1.7055,0.3719,-0.3917,0.3855,20.834,19.550,22.119,7B+,-1.834
Electric Avenue,25,7B+,1.6536,0.4602,0.7138,0.4251,22.713,21.297,24.130,7C+,-1.713
No Mystery super low?,2,8B,5.5679,2.0493,6.1288,0.7614,31.919,29.382,34.456,31.918894132910044,-5.919
Vitruvian Man,463,7C,6.4119,0.4754,-1.0735,0.1202,19.675,19.274,20.076,7B,+2.325
Black magic,12,7B,0.2479,0.6178,1.0030,0.5962,23.205,21.219,25.192,7C+,-3.205
Placebo,57,8A,3.8317,0.5594,1.6827,0.3140,24.361,23.314,25.407,8A,-0.361
The Mad Japer,6,7B+,1.9857,1.0842,3.6362,0.9148,27.682,24.633,30.730,8C,-6.682
Never ending Story,232,6B+,4.4569,0.4587,-1.4855,0.1507,18.975,18.473,19.477,7A+,-3.975
La pelle left,59,8A,7.2289,1.0562,2.5079,0.2791,25.763,24.834,26.693,8B,-1.763
El talisman,57,6B+,0.3889,0.3011,-3.3024,0.3316,15.886,14.781,16.991,6C,-0.886
Jump for beginners,77,6B,0.2256,0.2582,-3.9531,0.3004,14.780,13.779,15.781,6B+,-0.780
cubitus,130,6B,0.9817,0.2321,-3.3479,0.2651,15.809,14.925,16.692,6C,-1.809
Carpe Diem,31,6B+,0.0458,0.4244,-1.5157,0.4324,18.923,17.483,20.364,7A+,-3.923
sex and the city,43,7A+,2.8049,0.7395,-0.5095,0.3641,20.634,19.421,21.847,7B+,-1.634
Dreamtime Stand,101,8A+,9.0590,1.1235,2.0506,0.2593,24.986,24.122,25.850,8A+,+0.014
Bottle after bottle,115,6C+,1.1692,0.2642,-3.1034,0.2428,16.224,15.415,17.033,6C,+0.776
La mossa del barbiere,50,7A+,1.5804,0.4052,-0.4566,0.3509,20.724,19.555,21.893,7B+,-1.724
Tarzan,85,7B+,2.6768,0.2993,0.3671,0.2230,22.124,21.381,22.867,7C,-1.124
Number One / Slooper Attack,550,7A,4.3161,0.2266,-1.8766,0.1029,18.310,17.967,18.653,7A,-0.310
Kiss me,95,7C,4.4716,0.5984,1.2774,0.1881,23.672,23.045,24.298,8A,-1.672
The Loneliness of a Long Distance Runner,68,7C,3.0028,0.4000,-0.4943,0.2748,20.660,19.744,21.575,7B+,+1.340
Le Pilier,239,8A,9.1252,1.0916,1.2031,0.1741,23.545,22.965,24.125,8A,+0.455
Thomahawk,2,7B+,2.9113,1.6440,4.3049,0.8013,28.818,26.148,31.488,8C+,-7.818
Globetrotter,575,7A,4.5589,0.2969,-1.5360,0.1070,18.889,18.532,19.245,7A+,-0.889
Le Monolithe,64,7B+,2.7613,0.4478,1.0059,0.2852,23.210,22.260,24.160,7C+,-2.210
Raindogs-Rainbirds,1,8A,0.3027,1.9675,4.9394,1.0045,29.897,26.550,33.244,29.896939403853445,-5.897
Professor Bambela,60,7A,0.8564,0.2922,-2.7995,0.2752,16.741,15.824,17.658,6C+,+1.259
Lumix,35,6C+,0.7555,0.3889,-0.4444,0.3978,20.744,19.419,22.070,7B+,-3.744
SS20,30,7A,0.3614,0.4188,-0.5854,0.5006,20.505,18.837,22.173,7B+,-2.505
Le pilier (stand),16,7B,1.5099,0.5888,1.3679,0.3805,23.825,22.558,25.093,8A,-3.825
Black Arete,125,7C,5.5179,0.6031,0.7025,0.2070,22.694,22.005,23.384,7C+,-0.694
Mit Gas,65,6C+,1.2196,0.2833,-1.7045,0.2786,18.602,17.674,19.531,7A+,-1.602
les odigts vertes,1,7C+,0.8174,1.8615,4.8384,1.0303,29.725,26.292,33.158,29.725275358278108,-6.725
La Rondeur des tes Seins,10,8A+,6.1180,1.5071,3.9896,0.4634,28.282,26.738,29.826,8C,-3.282
Der Flug der Wildgans,7,7B,1.9464,0.9137,3.1603,0.5890,26.873,24.910,28.835,8B+,-6.873
N.N. (bloc 26b),3,7C+,0.9532,0.9085,2.9692,0.8237,26.548,23.803,29.292,8B+,-3.548
Kill Bill,238,7A,3.7965,0.3623,-0.7363,0.1821,20.248,19.641,20.855,7B,-2.248
Petit pas tapen,31,8A,5.7459,1.0203,3.1292,0.3610,26.820,25.617,28.022,8B+,-2.820
The Dagger,132,8B+,8.5543,1.0767,2.2734,0.2020,25.365,24.692,26.038,8A+,+1.635
Serre moi fort,296,8A,9.2002,1.0283,1.2018,0.1305,23.543,23.108,23.978,8A,+0.457
Nureyev,18,7B+,0.9837,0.5705,1.2728,0.5318,23.664,21.892,25.436,8A,-2.664
fantomas,1,7C,0.8950,2.2424,4.8491,1.0980,29.743,26.085,33.402,29.743484612725734,-7.743
Doctor Jump,24,8A+,3.8687,0.5437,2.5766,0.3989,25.880,24.551,27.210,8B,-0.880
Frostheaves,17,8A+,5.3588,1.8737,3.7489,0.3765,27.873,26.619,29.128,8C,-2.873
Hannibal Lecter,305,7B+,6.3031,0.6413,-0.2041,0.1296,21.153,20.721,21.585,7B+,-0.153
Unter Dach & Fach,10,7B+,1.4928,0.6853,2.1317,0.5189,25.124,23.395,26.853,8A+,-4.124
Palpa Tina,184,7A+,3.3486,0.3074,-1.8486,0.1543,18.357,17.843,18.872,7A,+0.643
Wolfpack,9,6B+,0.1952,1.0733,-4.3671,0.8636,14.076,11.198,16.954,6B,+0.924
Vergogna,21,7A+,1.0154,0.5327,-0.0709,0.6055,21.379,19.362,23.397,7B+,-2.379
L'edile,50,7A,2.9902,0.5368,-1.4227,0.4258,19.081,17.663,20.500,7A+,-1.081
Il partner assis,8,7C+,1.9130,1.1925,3.3128,0.6216,27.132,25.060,29.203,8B+,-4.132
Bukowsky,41,7A,0.4106,0.3332,0.0809,0.4411,21.638,20.168,23.107,7C,-3.638
dick und doof,7,8A,0.5550,0.7669,2.4562,0.6689,25.676,23.447,27.904,8B,-1.676
Coffee and cigarettes,75,7A,2.6149,0.3834,-0.1956,0.2857,21.167,20.216,22.119,7B+,-3.167
Devil's Bay,75,6A+,0.3372,0.2678,-4.0404,0.2858,14.631,13.679,15.583,6B+,-1.631
Foassil ass,2,7C,0.5470,1.1796,3.9603,0.8175,28.232,25.509,30.956,8C,-6.232
Entwash,2,8A,1.3944,1.6504,4.6069,0.8608,29.332,26.464,32.200,8C+,-5.332
N.N. (right of ganymede takeover),1,7C+,1.6461,2.1254,5.5816,1.0174,30.989,27.599,34.379,30.98871467627055,-7.989
Il Doppione,79,7B+,3.0716,0.3379,0.3744,0.2553,22.136,21.286,22.987,7C,-1.136
Willenberg Dach,285,8A,8.0003,1.0123,0.7088,0.1676,22.705,22.147,23.263,7C+,+1.295
Frogatt Traverse,71,7A,0.8887,0.2235,-3.0199,0.3204,16.366,15.299,17.434,6C,+1.634
Dellerium bremans,1,6C+,0.0278,2.2590,2.7888,1.4879,26.241,21.283,31.199,8B,-9.241
Variante Milton,11,7B+,2.0591,0.7226,2.7012,0.4237,26.092,24.680,27.504,8B,-5.092
Dark Side of the Moon (sit),31,8A,6.0640,0.9583,1.6202,0.3637,24.254,23.043,25.466,8A,-0.254
Star Stress,30,6C,1.5243,0.4128,-2.7650,0.4676,16.800,15.241,18.358,6C+,-0.800
Souvenir,436,8A,9.4330,1.0660,0.3656,0.1119,22.122,21.749,22.495,7C,+1.878
Aka Midnight Lightning,6,7C+,4.5996,1.6113,4.6013,0.5056,29.322,27.638,31.007,8C+,-6.322
Molonk,3,7C,2.1166,1.1852,4.1275,0.8813,28.517,25.580,31.453,8C+,-6.517
The Real Shield,173,7C,5.2927,0.5070,-0.0124,0.1791,21.479,20.882,22.076,7B+,+0.521
lancio del nano,29,7A,1.6771,0.5132,-2.4481,0.4437,17.338,15.860,18.817,6C+,+0.662
Meeting point,10,7C,1.6101,0.9547,2.9291,0.6031,26.479,24.470,28.489,8B,-4.479
HIV,42,7A+,1.1069,0.3516,-0.8454,0.4047,20.063,18.714,21.411,7B,-1.063
Le cadeaux,190,6B+,1.6413,0.2300,-3.7724,0.1824,15.087,14.479,15.695,6B+,-0.087
Fat boy,228,7C+,6.0637,0.5608,0.4402,0.1571,22.248,21.725,22.772,7C,+0.752
Schrotti rechte variante,1,7B+,0.2382,1.8344,4.8394,1.0165,29.727,26.340,33.114,29.72697028958592,-8.727
The Muppet Show,8,7A,0.1828,0.7796,-0.1114,0.8509,21.311,18.475,24.146,7B+,-3.311
Vecchio Leone,122,8B,9.4708,1.0740,2.0352,0.2193,24.960,24.229,25.691,8A+,+1.040
Batterie in esaurimento,46,7A+,1.6165,0.4070,0.1894,0.3885,21.822,20.527,23.116,7C,-2.822
Traumadienst,78,6A,0.0082,0.2634,-5.4488,0.2802,12.237,11.303,13.171,6A,-0.237
Sunny Side Up,1,8B+,1.5726,1.7980,5.2122,1.1416,30.361,26.557,34.165,30.360731159979732,-3.361
Ciak si gira,37,7A,1.1535,0.4721,0.0513,0.3894,21.587,20.290,22.885,7C,-3.587
Chüngelsprung,1,7B+,0.0078,1.6979,3.4282,1.3742,27.328,22.749,31.907,8B+,-6.328
Linserboulder var,34,7B,1.0133,0.3364,-0.0198,0.3961,21.466,20.146,22.786,7B+,-1.466
Senza mani,67,6B+,0.9214,0.2899,-1.6400,0.2754,18.712,17.794,19.629,7A+,-3.712
L'uomo senza ombra,11,7A+,0.6737,0.6715,2.3000,0.5185,25.410,23.683,27.138,8A+,-6.410
Doctor multifit,54,7B,2.3692,0.4640,0.5911,0.2936,22.505,21.526,23.483,7C+,-2.505
Bonito,59,6C+,0.6444,0.3610,-1.1359,0.3574,19.569,18.378,20.760,7B,-2.569
Schuppenshampoo,59,6C,0.4594,0.2359,-2.0360,0.3822,18.039,16.765,19.312,7A,-2.039
Alinghi,90,6C,3.2356,0.6107,-2.7646,0.2470,16.800,15.977,17.623,6C+,-0.800
Boogalagga,97,8B,8.9719,1.1697,2.5904,0.1975,25.904,25.246,26.562,8B,+0.096
Placebo,8,8A,2.1982,1.0125,3.1412,0.4756,26.840,25.255,28.425,8B+,-2.840
highball jump thing,2,8A+,4.2965,2.0374,5.8683,0.7662,31.476,28.923,34.029,31.476077851050317,-6.476
Car Pool,37,7A+,4.1283,0.9797,-0.5743,0.4643,20.524,18.977,22.071,7B+,-1.524
Parkinson,13,7A,0.4730,0.7017,-1.7314,0.7652,18.557,16.007,21.106,7A+,-0.557
Painful Case,17,6C+,0.6028,0.9952,-1.6230,0.8561,18.741,15.888,21.593,7A+,-1.741
piranja direct,3,7A+,0.1723,1.0240,3.5637,0.8099,27.558,24.860,30.257,8C,-8.558
