name,ascents,grade,popularity,popularity_std,elo,elo_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
The bizzarre ride,79,8A+,8.4306,1.0670,2.5034,0.2277,25.756,24.997,26.514,8B,-0.756
The Knowing,26,8B,6.5399,1.1093,3.5596,0.3328,27.551,26.442,28.660,8C,-1.551
Oh Tannenbaum,72,6C,0.3121,0.2371,-2.1952,0.2861,17.768,16.815,18.722,7A,-1.768
Muschitanz,122,6A,0.4748,0.2522,-3.8943,0.2686,14.880,13.985,15.775,6B+,-2.880
Dinos don't Dynos,883,7B,7.7888,0.5882,-0.9344,0.0839,19.912,19.632,20.191,7B,+0.088
By your side,67,6C,0.1393,0.3185,-2.4166,0.3454,17.392,16.241,18.543,6C+,-1.392
Barbarella,275,6C,2.9256,0.2130,-2.2732,0.1531,17.636,17.125,18.146,7A,-1.636
Land of unicorns,25,7B+,0.5002,0.3899,0.6306,0.4747,22.572,20.990,24.154,7C+,-1.572
Jenny,655,6B,2.7709,0.1725,-5.4806,0.0950,12.183,11.866,12.500,6A,+1.817
Crossover,46,7C,2.8780,0.5093,1.3288,0.2490,23.759,22.929,24.589,8A,-1.759
Captain Jack,9,8A+,6.4962,1.5434,4.1399,0.3647,28.538,27.323,29.753,8C+,-3.538
Gulliver Kante,939,7A+,4.3902,0.2165,-3.1911,0.0772,16.075,15.818,16.332,6C,+2.925
Eye of the Tiger,9,8A,4.2952,0.9336,4.0925,0.3362,28.457,27.337,29.577,8C,-4.457
Jacks Broken Heart,379,8A,10.1897,1.0580,1.0867,0.1311,23.347,22.910,23.784,7C+,+0.653
Binarius furbus,8,7C+,3.2045,1.0994,4.1808,0.4830,28.607,26.998,30.217,8C+,-5.607
Tintenfisch Alarm,9,8A+,6.1208,1.2447,4.2775,0.3302,28.772,27.671,29.872,8C+,-3.772
Jack Daniels,11,7C+,2.0471,0.9460,3.5685,0.4326,27.566,26.125,29.008,8C,-4.566
Knallpot,68,7B+,2.1338,0.3527,0.2582,0.2946,21.939,20.958,22.920,7C,-0.939
Space Cowboy,151,7B,3.6904,0.3802,0.4489,0.1785,22.263,21.668,22.858,7C,-2.263
Foo Fighter,286,7C,5.2785,0.4202,0.0686,0.1488,21.617,21.121,22.112,7C,+0.383
Free for all,111,7C+,8.2437,1.0792,2.3197,0.1998,25.443,24.778,26.109,8A+,-2.443
Enterprise in Space,310,7C,5.8622,0.5421,-0.2575,0.1472,21.062,20.572,21.553,7B+,+0.938
Schrotti,1158,7B,6.1882,0.3461,-1.5765,0.0800,18.820,18.553,19.086,7A+,+1.180
Sofasurfer direct,29,8B,5.1734,0.9499,3.5793,0.3157,27.585,26.533,28.637,8C,-1.585
Babynahrung,27,7B+,0.9340,0.4427,1.5173,0.4325,24.079,22.638,25.521,8A,-3.079
Heb da Arsch,486,7A,3.5762,0.2115,-1.9594,0.1236,18.169,17.757,18.581,7A,-0.169
The Globe,33,7B,1.8040,0.5006,1.6885,0.3216,24.370,23.299,25.442,8A,-4.370
Down under,171,7C+,6.5159,0.7159,1.4617,0.1649,23.985,23.435,24.534,8A,-0.985
Moos Dyno,55,7A,1.6273,0.3129,-0.4316,0.3541,20.766,19.586,21.946,7B+,-2.766
Sofasurfer,6,8A,1.9832,0.9176,3.4037,0.5249,27.286,25.537,29.035,8B+,-3.286
Small Jack,92,7C,4.8347,0.6719,1.5933,0.1952,24.209,23.558,24.859,8A,-2.209
Transformer,6,7C+,2.4728,1.2624,4.3546,0.5454,28.903,27.086,30.720,8C+,-5.903
Hageltrauma,584,7B,4.8390,0.2719,-1.5941,0.1100,18.790,18.423,19.157,7A+,+1.210
Kuchenmonster,134,7A,2.2323,0.2485,-0.8643,0.2468,20.031,19.208,20.853,7B,-2.031
Fast Joe,33,7B,2.2419,0.4409,1.7220,0.3215,24.427,23.356,25.499,8A,-4.427
French Bleau,44,7B,1.8481,0.4598,1.3522,0.3800,23.799,22.532,25.065,8A,-3.799
Fetter Fisch,80,7B,2.8963,0.4661,0.7378,0.2609,22.754,21.885,23.624,7C+,-2.754
Octopussy,652,8A,10.4417,0.9561,0.8653,0.0949,22.971,22.655,23.287,7C+,+1.029
Golden Ei,56,7B,2.5422,0.3899,0.6556,0.2476,22.615,21.790,23.440,7C+,-2.615
Superfuck,58,7C,2.1811,0.3922,0.6348,0.3065,22.579,21.558,23.601,7C+,-0.579
Stressman,598,7A+,4.6013,0.2929,-1.2041,0.1074,19.453,19.095,19.811,7A+,-0.453
Liebling,84,6C+,0.5906,0.2483,-2.9750,0.3237,16.443,15.364,17.521,6C,+0.557
Fingerlicker,9,7C+,1.1053,0.6763,2.4149,0.4985,25.605,23.945,27.266,8B,-2.605
Gorilla,257,6C,1.8272,0.1844,-2.6265,0.1579,17.035,16.509,17.561,6C+,-1.035
Ill Thrill,27,8B+,7.0120,1.3168,4.0598,0.2934,28.402,27.424,29.379,8C,-1.402
Master of cow,53,7C+,3.6918,0.5275,2.3779,0.2816,25.542,24.604,26.481,8B,-2.542
Big Jack,21,8A,5.1737,1.1044,3.7627,0.3566,27.897,26.708,29.085,8C,-3.897
Lolo Ferrari,101,7B,4.1139,0.5587,1.2826,0.2368,23.680,22.891,24.470,8A,-3.680
Enterprise,1612,7A,6.2951,0.2994,-2.9182,0.0689,16.539,16.310,16.769,6C+,+1.461
Supercrack,342,6C,2.5285,0.2117,-4.0509,0.1296,14.613,14.182,15.045,6B+,+1.387
Sick Suck,4,7C+,0.4452,1.1205,3.6483,0.6414,27.702,25.565,29.839,8C,-4.702
