name,ascents,grade,popularity,elo,elo_std,pop_std,inferred_grade,inferred_grade_lower,inferred_grade_upper,inferred_grade_str,delta
Kobold,74,7A,5.3294,-3.7163,0.0000,0.0000,16.979,16.979,16.979,6C+,+1.021
Wonderland,3,6C,-2.9120,-0.0664,0.0000,0.0000,16.949,16.949,16.949,6C+,-0.949
Road chill,1,7C,-0.5957,3.0640,0.0000,0.0000,19.731,19.731,19.731,7B,+2.269
Silberplatte,6,4B,-2.3589,-10.9251,0.0000,0.0000,9.869,9.869,9.869,5B,-2.869
Gulliver Kante original,2,7B,0.7225,3.6083,0.0000,0.0000,20.488,20.488,20.488,7B,-0.488
Sofa surfer stand,1,7C+,-2.6570,2.7521,0.0000,0.0000,18.906,18.906,18.906,7A+,+4.094
Sunshine,5,7A,-0.2956,2.8657,0.0000,0.0000,19.688,19.688,19.688,7B,-1.688
Manco il Nico,5,7C,-0.1946,-0.1805,0.0000,0.0000,17.686,17.686,17.686,7A,+4.314
Renegade,6,7A+,-1.5615,0.3528,0.0000,0.0000,17.633,17.633,17.633,7A,+1.367
Dr. Quinn,5,4A,0.3344,-12.0580,0.0000,0.0000,9.919,9.919,9.919,5B,-3.919
Ein Traum in Rot,1,6B,-2.4327,0.2668,0.0000,0.0000,17.315,17.315,17.315,6C+,-3.315
Miramax to Le Cadeaux,17,7A+,2.0231,-0.8947,0.0000,0.0000,17.872,17.872,17.872,7A,+1.128
Don Zorro (high start),1,8B,-6.5690,1.3614,0.0000,0.0000,16.808,16.808,16.808,6C+,+9.192
Kleeblatt,7,6A,0.3370,-7.6966,0.0000,0.0000,12.830,12.830,12.830,6A+,-0.830
Stumpf ist Trumpf,1,6B+,-5.9659,1.0615,0.0000,0.0000,16.788,16.788,16.788,6C+,-1.788
Foxy Lady Left,7,7A,0.1827,-3.1423,0.0000,0.0000,15.822,15.822,15.822,6C,+2.178
Lokalino,2,7A,-1.5819,2.2660,0.0000,0.0000,18.903,18.903,18.903,7A+,-0.903
Catatonica,98,8A,8.7189,-0.2704,0.0000,0.0000,20.292,20.292,20.292,7B,+3.708
Die Verschneidigung,2,4B,-1.9623,-11.4016,0.0000,0.0000,9.670,9.670,9.670,5B,-2.670
Arpia,14,6B,-0.2893,-2.2407,0.0000,0.0000,16.283,16.283,16.283,6C,-2.283
Lass dich überraschen,2,6B+,-2.1380,-0.9581,0.0000,0.0000,16.586,16.586,16.586,6C+,-1.586
Eduard,8,6B+,-1.1733,-4.0531,0.0000,0.0000,14.809,14.809,14.809,6B+,+0.191
Il palo,2,6C+,-2.5230,-3.6371,0.0000,0.0000,14.683,14.683,14.683,6B+,+2.317
The Vision short,1,8A,-1.1915,4.4481,0.0000,0.0000,20.476,20.476,20.476,7B,+3.524
Too many projects,7,6A,-0.2556,-8.4224,0.0000,0.0000,12.168,12.168,12.168,6A,-0.168
Warmp up jump,1,6C,-2.4039,-6.6308,0.0000,0.0000,12.721,12.721,12.721,6A+,+3.279
Hoihoi,1,5B,-5.0191,-7.6882,0.0000,0.0000,11.233,11.233,11.233,5C,-1.233
Pample traverse,4,8A+,6.4808,4.3364,0.0000,0.0000,22.696,22.696,22.696,7C+,+2.304
Strandpirat,6,7A,-0.9223,1.6330,0.0000,0.0000,18.678,18.678,18.678,7A+,-0.678
"Danke, kein Bedarf",1,6B,-8.6966,-1.5213,0.0000,0.0000,14.248,14.248,14.248,6B,-0.248
Zero Power,19,6C+,1.8370,-4.3747,0.0000,0.0000,15.495,15.495,15.495,6B+,+1.505
Fallobst,1,6B,-1.3848,2.9954,0.0000,0.0000,19.449,19.449,19.449,7A+,-5.449
N.N. 2 (Block 22),1,5B,-3.3534,-2.4728,0.0000,0.0000,15.211,15.211,15.211,6B+,-5.211
Ausser Klaus,3,6A,-2.7557,-5.8483,0.0000,0.0000,13.138,13.138,13.138,6A+,-1.138
Bumbasina problem,4,7A+,-0.5745,1.6109,0.0000,0.0000,18.767,18.767,18.767,7A+,+0.233
N.N. (Masso 11.1),1,6B,-4.0064,-0.5929,0.0000,0.0000,16.270,16.270,16.270,6C,-2.270
N.N. (Masso 5.3),1,6A,-4.0121,-0.6298,0.0000,0.0000,16.244,16.244,16.244,6C,-4.244
italian look,18,5C,-0.9758,-5.2384,0.0000,0.0000,14.077,14.077,14.077,6B,-3.077
Sneaker,3,6B,-2.2494,-5.5161,0.0000,0.0000,13.511,13.511,13.511,6B,+0.489
Fontastic,1,7B,-3.0321,0.2579,0.0000,0.0000,17.129,17.129,17.129,6C+,+2.871
Soft poco soft,2,6B,-1.6417,-4.0080,0.0000,0.0000,14.699,14.699,14.699,6B+,-0.699
Stallvisite,5,6A,-1.6187,-2.3366,0.0000,0.0000,15.821,15.821,15.821,6C,-3.821
Buco di Ce,3,6A,-2.0527,-5.6223,0.0000,0.0000,13.499,13.499,13.499,6A+,-1.499
Pilier au citron,4,7C,1.4306,3.0074,0.0000,0.0000,20.299,20.299,20.299,7B,+1.701
Gin wigmore,5,6B+,-2.4737,-5.1485,0.0000,0.0000,13.689,13.689,13.689,6B,+1.311
Häppi Hippo,1,7B,-1.4760,3.9666,0.0000,0.0000,20.070,20.070,20.070,7B,-0.070
Loctobacillus,2,6B,-4.9661,-1.7793,0.0000,0.0000,15.192,15.192,15.192,6B+,-1.192
Cheap Show,2,6A+,-6.7725,-5.8120,0.0000,0.0000,11.961,11.961,11.961,6A,+1.039
Marilyn Manson,1,6C,-7.1015,1.3195,0.0000,0.0000,16.621,16.621,16.621,6C+,-0.621
Camel Ride,34,6B,0.7340,-6.0473,0.0000,0.0000,14.049,14.049,14.049,6B,-0.049
Casey Crazy Stand,1,7A+,-4.1616,1.6571,0.0000,0.0000,17.725,17.725,17.725,7A,+1.275
Döner Kebap,7,6B+,-0.5950,-7.7535,0.0000,0.0000,12.513,12.513,12.513,6A+,+2.487
Fatzge,27,6B,2.7715,-4.4518,0.0000,0.0000,15.723,15.723,15.723,6C,-1.723
